TimeStamp,HK_id,PinPullerTemp,OpticsTemp,LEXIbaseTemp,HVsupplyTemp,+5.2V_Imon,+10V_Imon,+3.3V_Imon,AnodeVoltMon,+28V_Imon,ADC_Ground,Cmd_count,Pinpuller_Armed,Unused1,Unused2,HVmcpAuto,HVmcpMan,DeltaEvntCount,DeltaDroppedCount,DeltaLostevntCount
67615.0,5.0,-273.0,-268.1552832,18.784080000000003,-273.0,1.17814704,1.8189709440000001,0.369960192,2.000647824,0.933709056,0.0,8.0,0.0,nan,nan,nan,2.519252736,7.0,0.0,0.0
68615.0,6.0,-273.0,-268.1552832,18.784080000000003,-273.0,1.17814704,1.8189709440000001,0.369960192,2.000647824,0.933709056,0.0,8.0,0.0,nan,nan,nan,2.519252736,8.0,0.0,0.0
69615.0,7.0,-273.0,-268.1552832,18.784080000000003,-273.0,1.17814704,1.8189709440000001,0.369960192,2.501635584,0.933709056,0.0,8.0,0.0,nan,nan,nan,2.519252736,5.0,0.0,0.0
70615.0,8.0,-273.0,-268.1552832,18.784080000000003,-273.0,1.17814704,1.8189709440000001,0.369960192,2.501635584,0.964539072,0.0,8.0,0.0,nan,nan,nan,2.519252736,3.0,0.0,0.0
71615.0,9.0,-273.0,-268.1552832,18.784080000000003,-273.0,1.17814704,1.8189709440000001,0.369960192,2.501635584,0.964539072,0.0,8.0,0.0,nan,nan,nan,2.519252736,5.0,0.0,0.0
72615.0,10.0,-273.0,-268.1552832,18.784080000000003,-273.0,1.17814704,1.8189709440000001,0.369960192,2.501635584,0.964539072,0.0,9.0,0.0,nan,nan,nan,2.519252736,4.0,0.0,0.0
73615.0,11.0,-273.0,-268.1552832,18.784080000000003,-273.0,1.17814704,1.8189709440000001,0.369960192,2.501635584,0.964539072,0.0,9.0,0.0,nan,nan,nan,2.519252736,6.0,0.0,0.0
74615.0,0.0,-273.0,-268.1552832,18.784080000000003,-273.0,1.17814704,1.8189709440000001,0.369960192,2.501635584,0.964539072,0.0,9.0,0.0,nan,nan,nan,2.519252736,11.0,0.0,0.0
75615.0,1.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.17814704,1.8189709440000001,0.369960192,2.501635584,0.964539072,0.0,9.0,0.0,nan,nan,nan,2.519252736,7.0,0.0,0.0
76615.0,2.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.17814704,1.8189709440000001,0.369960192,2.501635584,0.964539072,0.0,9.0,0.0,nan,nan,nan,2.519252736,4.0,0.0,0.0
77615.0,3.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.17814704,1.8189709440000001,0.369960192,2.501635584,0.964539072,0.0,9.0,0.0,nan,nan,nan,2.519252736,5.0,0.0,0.0
78615.0,4.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.180349184,1.8189709440000001,0.369960192,2.501635584,0.964539072,0.0,9.0,0.0,nan,nan,nan,2.519252736,6.0,0.0,0.0
79615.0,5.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.180349184,1.8189709440000001,0.369960192,2.501635584,0.964539072,0.0,9.0,0.0,nan,nan,nan,2.519252736,6.0,0.0,0.0
80615.0,6.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.180349184,1.8189709440000001,0.389779488,2.501635584,0.964539072,0.0,9.0,0.0,nan,nan,nan,2.519252736,5.0,0.0,0.0
81615.0,7.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.180349184,1.8189709440000001,0.389779488,2.501635584,0.964539072,0.0,9.0,0.0,nan,nan,nan,2.519252736,7.0,0.0,0.0
82615.0,8.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.180349184,1.8189709440000001,0.389779488,2.501635584,0.965640144,0.0,9.0,0.0,nan,nan,nan,2.519252736,1.0,0.0,0.0
83615.0,9.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.180349184,1.8189709440000001,0.389779488,2.501635584,0.965640144,0.0,9.0,0.0,nan,nan,nan,2.519252736,5.0,0.0,0.0
84615.0,10.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.180349184,1.8189709440000001,0.389779488,2.501635584,0.965640144,0.0,9.0,0.0,nan,nan,nan,2.519252736,7.0,0.0,0.0
85615.0,11.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.180349184,1.8189709440000001,0.389779488,2.501635584,0.965640144,0.0,9.0,0.0,nan,nan,nan,2.519252736,3.0,0.0,0.0
86615.0,0.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.180349184,1.8189709440000001,0.389779488,2.501635584,0.965640144,0.0,9.0,0.0,nan,nan,nan,2.519252736,6.0,0.0,0.0
87615.0,1.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.180349184,1.8189709440000001,0.389779488,2.501635584,0.965640144,0.0,9.0,0.0,nan,nan,nan,2.519252736,10.0,0.0,0.0
88615.0,2.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.180349184,1.8189709440000001,0.389779488,2.501635584,0.965640144,0.0,9.0,0.0,nan,nan,nan,2.519252736,10.0,0.0,0.0
89615.0,3.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.180349184,1.8189709440000001,0.389779488,2.501635584,0.965640144,0.0,9.0,0.0,nan,nan,nan,2.519252736,5.0,0.0,0.0
90615.0,4.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.181450256,1.8189709440000001,0.389779488,2.501635584,0.965640144,0.0,9.0,0.0,nan,nan,nan,2.519252736,7.0,0.0,0.0
91615.0,5.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.181450256,1.8200720160000001,0.389779488,2.501635584,0.965640144,0.0,9.0,0.0,nan,nan,nan,2.519252736,4.0,0.0,0.0
92615.0,6.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.181450256,1.8200720160000001,0.371061264,2.501635584,0.965640144,0.0,9.0,0.0,nan,nan,nan,2.519252736,2.0,0.0,0.0
93615.0,7.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.181450256,1.8200720160000001,0.371061264,2.501635584,0.965640144,0.0,9.0,0.0,nan,nan,nan,2.519252736,5.0,0.0,0.0
94615.0,8.0,-273.0,-268.4856048,18.784080000000003,-273.0,1.181450256,1.8200720160000001,0.371061264,2.501635584,0.963438,0.0,9.0,0.0,nan,nan,nan,2.519252736,9.0,0.0,0.0
