,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4
248,136.344,False,0.846112,6.9e-05,0.0,0.0
249,136.999,True,1.075681,1.111211,1.14922,1.140269
250,137.344,False,1.201551,6.9e-05,0.0,0.0
251,137.999,True,1.075543,1.111142,1.14922,1.140131
252,138.344,False,1.457905,6.9e-05,0.0,0.0
253,138.999,True,1.075406,1.11128,1.149151,1.1402
254,139.344,False,1.715292,6.9e-05,0.0,0.0
255,139.999,True,1.075475,1.111349,1.149151,1.140407
256,140.344,False,2.036853,6.9e-05,0.0,0.0
257,140.999,True,1.075406,1.11128,1.149151,1.140407
258,141.344,False,2.310835,6.9e-05,0.0,0.0
259,141.999,True,1.075337,1.111349,1.149151,1.140338
260,142.169,False,4.335569,6.9e-05,0.0,0.0
261,142.999,True,1.075337,1.111142,1.14922,1.140544
262,143.169,False,2.538338,6.9e-05,0.0,0.0
263,143.999,True,1.075406,1.111074,1.149151,1.140269
264,144.169,False,2.820926,6.9e-05,0.0,0.0
265,144.999,True,1.075268,1.110936,1.149289,1.140338
266,145.169,False,3.102412,6.9e-05,0.0,0.0
267,145.999,True,1.075337,1.111074,1.14922,1.140338
268,146.169,False,0.0,6.9e-05,0.0,0.0
269,146.999,True,1.075406,1.111211,1.149151,1.140062
270,147.169,False,0.284929,6.9e-05,0.0,0.0
271,147.999,True,1.075475,1.111211,1.149151,1.1402
272,148.169,False,0.745306,6.9e-05,0.0,0.0
273,148.999,True,1.075268,1.111005,1.14922,1.140062
274,149.169,False,0.846112,6.9e-05,0.0,0.0
275,149.999,True,1.075475,1.111005,1.148738,1.140062
276,150.169,False,1.201414,6.9e-05,0.0,0.0
277,150.999,True,1.075268,1.110936,1.14922,1.140062
278,151.169,False,1.487032,6.9e-05,0.0,0.0
279,151.999,True,1.075406,1.111074,1.149014,1.139925
280,152.169,False,1.715292,6.9e-05,0.0,0.0
281,152.999,True,1.075406,1.111142,1.149082,1.140062
282,153.169,False,2.078443,6.9e-05,0.0,0.0
283,153.999,True,1.075337,1.110936,1.148945,1.140062
284,154.169,False,2.313245,6.9e-05,0.0,0.0
285,154.999,True,1.075406,1.111005,1.149082,1.140131
286,155.169,False,2.538338,6.9e-05,0.0,0.0
